0	1200	6	6	1	320
1	1380	3	5	1	342
2	1530	1	4	0	315
3	1410	0	6	0	342
4	1620	1	4	0	342
5	1245	0	2	0	323
6	1620	0	7	1	342
7	1200	0	2	1	342
8	1560	5.5	6	0	342
9	1380	4	5	1	342
10	1560	2	4	0	342
11	1410	0	7	1	342
12	1440	1	5	1	342
13	1380	1	4	1	342
14	1560	2	7	0	342
15	1230	5.5	3	0	342
16	1305	1	6	1	323
17	1380	0.5	4	0	342
18	1410	0	5	1	342
19	1530	0	8	0	342
20	1380	0	10	0	342
21	1220	6.5	7	0	342
22	1650	0	7	0	342
23	1650	1	7	0	342
24	1530	0	5	0	342
25	1410	0.5	6	0	342
26	1620	1	6	1	342
27	1560	0	7	0	342
28	1290	3	5	0	294
29	1410	0.5	7	0	342
30	1560	0	6	0	342
31	1440	0	9	1	342
32	1220	2	6	0	320
33	1440	0	11	1	342
34	1500	0	14	0	342
35	1220	2.5	5	0	342
36	1500	1.5	6	0	342
37	1290	9	6	0	320
38	1500	1	6	1	342
39	1350	1.5	7	1	340
40	1230	1.5	9	0	342
41	1245	2	6	0	342
42	1230	2	6	0	320
43	1275	1	7	0	320
44	1245	0	6	1	320
45	1305	8	6	0	320
46	1245	4.5	5	1	342
47	1290	2	5	0	342
48	1710	0.5	25	1	320
49	1680	2	17	0	320
50	1710	0	16	1	294
51	1710	0	26	1	320
52	1710	0	18	1	342
53	1710	0	26	1	320
54	1740	0.5	26	1	320
55	1740	0	29	0	294
56	1715	0	40	0	320
57	1710	0.5	29	0	320
58	1680	0.5	18	1	342
59	1710	0	20	0	323
60	1740	0	28	1	304
61	1720	0	20	0	320
62	1695	0	25	1	320
63	1850	1	17	1	320
64	1680	0	61	0	320
65	1800	9.5	20	1	320
66	1800	0	29	1	324
67	1800	2.5	26	0	294
68	1740	0	26	1	294
69	1800	0.5	28	0	342
